Trial_ID,probe,target,Association_Strength
1,dough,barbeque,
2,shed,spade,4.517241379
3,soldier,rifle,5.793103448
4,radio,vinyl,2.896551724
5,canyon,elf,0
6,mirror,lipstick,4.068965517
7,lorry, highway,7
8,sea,hand,
9,cottage,thigh,0
10,clown,cliff,0
11,blazer,foal,0
12,bath,bleach,
13,veil,bride,6
14,icecream,flake,5.448275862
15,pike,river,4.137931034
16,suit,tailor,5.75862069
17,oven, blister,4
18,belt,buckle,
19,builder,bricks,5.862068966
20,swing,ropes,4.482758621
21,pram,baby,6.206896552
22,lager, lime,4.5
23,bookmark,page,
24,rhinoceros,rug,0
25,stapler,mallet,
26,submarine ,diver,
27,wool, album,0
28,wheat,trophy,0
29,wicker,oxen,
30,dart,clover,0.172413793
31,cleaver,coffee,
32,firefighter,hose,
33,aeroplane,compass,3.103448276
34,handcuffs,birch,
35,dove,trainer,
36,compost,daffodils,
37,teacher,protractor,
38,bible,nun,
39,bench,football,
40,hanger,policeman,
41,eardrop,bacteria,
42,arrow,pineapple,0
43,pail,container,3.655172414
44,microbes,pillow,
45,needle,ink,2.482758621
46,belt,vest,
47,juice,sand,
48,newt,lightning,0
49,zebra, jacket,0.172413793
50,vinegar,bone,0.034482759
51,circus,beard,
52,portrait,cargo,0.103448276
53,pasta,potatoes,3.551724138
54,paramedic,ambulance,
55,willow,tongue,
56,forge,blacksmith,5.034482759
57,volcano ,lava,
58,ashes,lake,
59,bell,lotus,
60,albatross,uniform,0
61,lemonade,straw,
62,prune,poker,0
63,deer,thumb,0.103448276
64,rabbi, synagogue,
65,kiwi,locker,0
66,trolley,lollipop,
67,washer,lily,
68,coal,chimney,5.862068966
69,flapjack,raisin,4.344827586
70,television,root,0
71,floodplain,goat,
72,cactus,desert,5.965517241
73,lavender,wig,0.034482759
74,farmyard,sergeant,0
75,farm,sheep,5.862068966
76,church,vicar,6.344827586
77,eraser,lead,2.862068966
78,bow,tie,6.137931034
79,funeral,candle,3.206896552
80,painkiller,mouth,
81,handgel,doctor,
82,waitress, restaurant,7
83,omelette,pepper,
84,bait,fishhook,5.827586207
85,bolt,robbery,
86,iron,sheet,
87,confetti,helium,1.827586207
88,coasters,bowl,
89,seat,grapefruit,0
90,car,mechanic,5.965517241
91,seagulls,keyboard,
92,soil,tree,4
93,tractor,hay,5.068965517
94,javelin,kettle,
95,fire,forest,
96,cod,pen,0
97,refrigerator,jam,
98,zipper,trousers,
99,mop,skin,0.137931034
100,ashtray, cigarette,6.875
101,baggage,shoulder,
102,sink,filter,2.206896552
103,robot,wires,
104,earlobe,earing ,
105,dirt,gravestone,
106,crocodile,velcro,
107,tea,mug,6.206896552
108,wing,walnut,
109,felt ,stencil,
110,flask,gin,4.379310345
111,barn, rat,4.375
112,deity,invocation,2.206896552
113,pipe,bear,
114,rollerskates,pathway,
115,lobster, butter,4.125
116,tornado,pup,0.172413793
117,rocket ,space,
118,thunder,coast,
119,shrew,grate,0.137931034
120,drosophila,earring,
121,goggles,towel,
122,cloth,dish,
123,suitcase,bikini,2.827586207
124,worker,construction,5.137931034
125,hippocampus,saloon,
126,oxygen,tank,
127,penicillin ,draws,
